url,price,area,floor,metro,time_to_metro_minutes,finish,renovation,house_type,parking,date
https://www.cian.ru/sale/flat/306599731/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,61998690,23.4,9 из 9,Маяковская,1,2,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/322852356/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,249464600,213.4,8 из 8,Китай-город,2,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/322852970/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,82317600,82.4,5 из 8,Китай-город,2,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/317927888/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,41026950,-1.0,,Ленинский проспект,7,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/323336526/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,87179200,82.4,5 из 8,Китай-город,2,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325024318/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,154990000,160.0,4 из 7,Арбатская,8,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/320103833/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,71859594,48.1,12 из 18,Москва-Сити,16,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/325733307/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,48500000,90.0,6 из 8,Баррикадная,14,-1,1,0,0,2026-01-29
https://www.cian.ru/sale/flat/322870188/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,70000000,162.0,4 из 6,Чкаловская,7,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/307211222/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,121572851,57.6,8 из 9,Маяковская,1,2,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/324616754/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,48500000,90.0,6 из 8,Смоленская,7,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/325024321/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,70000000,161.2,4 из 6,Чкаловская,7,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/320335397/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,57301020,55.8,3 из 11,Павелецкая,16,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/324942096/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,95000000,145.8,2 из 9,Белорусская,8,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/325024283/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,95000000,150.0,2 из 9,Маяковская,6,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/324906238/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,29834443,34.9,4 из 55,Новаторская,19,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/323250624/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,95000000,145.8,2 из 9,Белорусская,8,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/321482385/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,65990000,105.8,41 из 72,Деловой центр,4,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/320335402/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,88661673,85.3,4 из 11,Павелецкая,16,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/326007954/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,24900000,57.0,4 из 5,Варшавская,3,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/315445395/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,50000000,81.1,6 из 7,Курская,6,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/286258299/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,155641824,104.2,5 из 9,Маяковская,1,2,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/322875100/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,50000000,81.1,6 из 7,Курская,6,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/317766565/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,98000000,160.0,4 из 9,Боровицкая,4,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/325151253/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,79880000,46.0,2 из 14,Белорусская,11,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/318613950/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,113800000,136.0,10 из 20,Краснопресненская,2,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/325406158/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,48000000,60.0,2 из 5,Кропоткинская,5,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/306541564/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,108320625,65.5,18 из 21,Улица 1905 года,7,2,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/326127038/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,95000000,148.0,15 из 15,Нагатинский Затон,6,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/324906200/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,44639651,55.7,3 из 52,Новаторская,20,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/323801981/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,22872465,38.5,5 из 12,Речной вокзал,12,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/325832273/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,95000000,77.0,2 из 9,Баррикадная,13,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/309288414/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,28847600,41.0,10 из 13,Спартак,12,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/321454545/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,57000000,73.2,4 из 5,Парк Культуры,9,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325691129/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,29354032,41.0,5 из 20,Фили,24,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/325534554/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,37560000,55.0,75 из 95,Деловой центр,1,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/319510663/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,146900000,113.0,4 из 8,Смоленская,9,2,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/323076923/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,87950000,189.0,3 из 7,Бауманская,12,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/323465020/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,23792612,30.98,10 из 20,Серебряный Бор,-1,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324301871/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,34990000,88.5,38 из 44,Калужская,11,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/324387839/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,69210888,87.1,10 из 56,Новаторская,20,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/323317010/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,610000000,204.1,1 из 3,Третьяковская,4,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323692355/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,130000000,210.5,5 из 5,Сретенский бульвар,5,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/324948386/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,72970400,84.8,3 из 18,Ленинский проспект,7,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/318815971/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,41800000,94.0,3 из 51,Шелепиха,5,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/324731392/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,79000000,108.0,11 из 21,Динамо,5,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323352802/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,20700000,38.5,6 из 29,Тушинская,5,1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/325436401/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,49850000,80.0,27 из 40,Шелепиха,5,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/317224076/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,240000000,398.0,6 из 6,Минская,7,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323678869/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,34416000,46.66,5 из 27,Крылатское,21,0,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/323586974/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,95000000,130.0,24 из 25,Воронцовская,6,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/324170656/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,59500000,73.2,7 из 15,Фрунзенская,9,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/324212133/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,27617220,25.7,6 из 26,Павелецкая,10,2,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/320034913/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,221171980,160.0,8 из 10,Тверская,7,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325476650/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,65000000,105.5,5 из 12,Шаболовская,9,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/320335472/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,153097776,152.1,3 из 11,Павелецкая,16,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/320084842/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,572000000,307.7,7 из 8,Тверская,9,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323518370/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,23927529,52.7,49 из 53,Ботанический сад,11,1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/322851216/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,61144200,39.0,37 из 90,Деловой центр,4,1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324031003/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,95000000,130.0,24 из 25,Воронцовская,6,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/320542851/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,225000000,160.0,37 из 79,Москва-Сити,4,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/320103996/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,249109521,178.7,11 из 18,Москва-Сити,19,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/318367069/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,50500000,61.0,7 из 7,Баррикадная,11,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/320588710/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,95990000,90.0,5 из 6,Кузнецкий мост,10,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/322779225/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,41026950,46.5,2 из 18,Ленинский проспект,7,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/322055890/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,46000000,67.0,48 из 51,Шелепиха,8,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/325010173/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,40200000,106.4,13 из 44,Беговая,3,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/324703594/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,22312620,35.4,5 из 45,Калужская,8,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/325863235/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,270000000,195.0,5 из 15,Киевская,11,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/318076850/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,70000000,137.6,25 из 48,Щукинская,12,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/320103819/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,160625602,115.6,11 из 18,Москва-Сити,16,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/320222108/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,67000000,137.0,3 из 18,Деловой центр,19,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/315719136/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,59600000,78.3,7 из 7,Кропоткинская,5,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/324212134/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,27617220,25.7,6 из 26,Павелецкая,10,2,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/325630279/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,60000000,100.0,8 из 14,Шелепиха,5,-1,2,0,0,2026-01-29
